Sublime-Style-Column-Selection@1.2.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",11136,6618
language-scala@1.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",6592,4026
merge-conflicts@1.2.7,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",43,26
meteor-api@2.12.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `meteor-api` package",43,26
neutron-ui@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `neutron-ui` package",52,26
nil-ui@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `nil-ui` package",35,35
nucleus@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `nucleus` package",26,26
nucleus@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,26
nucleus@0.3.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",26,26
nuclide-click-to-symbol@0.0.0,"Use ::dispose to cancel subscriptions instead of ::off",43,26
omnisharp-atom@0.2.1,"atom.services is no longer available. To register service providers and consumers, use the `providedServices` and `consumedServices` fields in your package's package.json.",26,26
omnisharp-atom@0.2.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,26
omnisharp-atom@0.2.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",26,26
omnisharp-atom@0.2.1,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
omnisharp-atom@0.2.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
omnisharp-atom@0.2.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",26,26
omnisharp-atom@0.2.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,26
omnisharp-atom@0.2.1,"Use ::addLeftTile({item, priority}) instead.",26,26
omnisharp-atom@0.2.1,"Use `::onDidActivateInitialPackages` instead.",26,26
omnisharp-atom@0.2.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",26,26
open-doc@0.3.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",234,35
open-doc@0.3.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",234,35
open-in-browser@0.4.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `open-in-browser` package",26,26
open-in-browser@0.4.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,26
open-in-browser@0.4.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",26,26
open-recent@2.2.0,"Call ::getActiveTextEditor instead",35,26
open-recent@2.2.0,"Use ::getDirectories instead",43,26
open-recent@2.2.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",43,26
php-beautifier@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `php-beautifier` package",43,26
php-beautifier@0.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",43,26
php-beautifier@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",43,26
php-checkstyle@0.12.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,26
php-checkstyle@0.12.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",26,26
php-checkstyle@0.12.0,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",26,26
pipe@0.3.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `pipe` package",78,26
pipe@0.3.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",78,26
playlist@0.1.7,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,26
playlist@0.1.7,"Requiring `SelectListView` from `atom` is no longer supported. Please require `SelectListView` from `atom-space-pen-view` instead: `{SelectListView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
playlist@0.1.7,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
playlist@0.1.7,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `playlist` package",35,26
playlist@0.1.7,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",35,26
playlist@0.1.7,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",35,26
post-qiita-team@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `post-qiita-team` package",52,26
post-qiita-team@0.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",52,26
post-qiita-team@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",52,26
project-manager@1.9.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",60,26
project-manager@1.9.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `project-manager` package",60,26
project-manager@1.9.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",60,26
rails-partials@0.4.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",69,26
rails-partials@0.4.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,26
remote-atom@1.0.9,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",35,26
remote-atom@1.0.9,"Use ::addLeftTile({item, priority}) instead.",35,26
remote-edit@1.6.4,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,26
remote-edit@1.6.4,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `remote-edit` package",26,26
rsense@0.6.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,26
run-file@0.9.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `run-file` package",156,95
run-file@0.9.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",156,95
run-file@0.9.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",156,95
sass-autocompile@0.6.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",43,26
sass-autocompile@0.6.1,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,26
sass-autocompile@0.6.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,26
save-commands@0.6.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",35,26
scroll-past-end@0.1.3,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",35,26
scrolly@0.4.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",35,26
slack-chat@1.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `slack-chat` package",43,26
slack-chat@1.0.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",43,26
slack-chat@1.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",43,26
sloc@0.1.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",52,26
sloc@0.1.3,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,26
sloc@0.1.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sloc` package",52,26
sloc@0.1.3,"Subscribe to TextEditor events instead.",52,26
sloc@0.1.3,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",52,26
sloc@0.1.3,"Use ::addLeftTile({item, priority}) instead.",52,26
sloc@0.1.3,"Use PackageManager::onDidActivateInitialPackages instead",52,26
smarter-delete-line@1.0.0,"Use Workspace::getActivePaneItem instead",26,26
syntax-tree@0.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,26
tab-rename@1.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",225,26
tab-rename@1.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",225,26
terminal-panel@1.10.0,"Use PackageManager::onDidActivateInitialPackages instead",35,26
terminal-status@1.3.5,"Use ::addLeftTile({item, priority}) instead.",43,26
terminal-status@1.3.5,"Use PackageManager::onDidActivateInitialPackages instead",35,26
test@0.0.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",35,26
trailing-spaces@0.2.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `trailing-spaces` package",35,26
tree-view@0.172.0,"The `changeFocus` option has been renamed to `activatePane`",26,26
twilight-textmate-syntax@0.1.19,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `twilight-textmate-syntax` package",43,26
vim-mode@0.11.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",43,26
vim-mode@0.11.1,"Project::on is deprecated. Use documented event subscription methods instead.",43,26
vim-mode@0.11.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",43,26
vim-mode@0.11.1,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,26
vim-mode@0.11.1,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,26
vim-mode@0.11.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,26
vim-mode@0.11.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `vim-mode` package",43,26
vim-mode@0.11.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",43,26
vim-mode@0.11.1,"Use ::addRightTile({item, priority}) instead.",43,26
vim-mode@0.11.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",43,26
vim-mode@0.11.1,"Use PackageManager::onDidActivateInitialPackages instead",43,26
vim-mode@0.11.1,"Use TextBuffer::onDidChange instead",43,26
vim-mode@0.11.1,"Use Workspace::onDidAddTextEditor instead",43,26
vim-mode@0.15.0,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",35,26
vim-mode@0.15.0,"Use ::addRightTile({item, priority}) instead.",35,26
vim-mode@0.15.0,"Use TextEditor::getLastCursor() instead",26,26
vim-mode@0.22.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,26
vim-mode@0.22.0,"Requiring `TextEditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
vim-mode@0.22.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
vim-mode@0.22.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `vim-mode` package",26,26
vim-mode@0.22.0,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",26,26
vim-mode@0.22.0,"Use ::addRightTile({item, priority}) instead.",26,26
vim-mode@0.22.0,"Use `::onDidActivateInitialPackages` instead.",26,26
vim-mode@0.29.0,"Requiring `TextEditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",35,26
vim-mode@0.29.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",35,26
vim-mode@0.46.0,"This is now a view method. Call TextEditorElement::getFirstVisibleScreenRow instead.",26,26
w3c-validation@0.1.3,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",26,26
white-cursor@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `white-cursor` package",43,26
wrap-lines@0.2.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,26
wrap-lines@0.2.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",26,26
xml-formatter@0.7.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `xml-formatter` package",43,26
xml-formatter@0.7.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",43,26
xml-formatter@0.7.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",43,26
yuno-commit@0.0.2,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",78,26
Zen@0.8.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `Zen` package",43,26
Zen@0.8.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",43,26
academic@0.34.1,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",35,17
ade@0.0.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",17,17
ade@0.0.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",17,17
ade@0.0.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",17,17
ade@0.0.0,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",17,17
ade@0.0.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",17,17
ade@0.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `ade` package",17,17
ade@0.0.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",17,17
ade@0.0.0,"Use `::getURI` instead",17,17
ade@0.0.0,"Use TextEditor::onDidStopChanging instead",17,17
ade@0.0.0,"Use TextEditor::setPlaceholderText instead. eg. editorView.getModel().setPlaceholderText(text)",17,17
ade@0.0.0,"Use Workspace::onDidAddTextEditor instead",17,17
advanced-new-file@0.4.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",17,17
advanced-new-file@0.4.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",17,17
agda-mode@0.2.17,"Are you trying to listen for the 'core:confirm' Atom command with `jQuery::on`? `jQuery::trigger` can no longer be used to listen for Atom commands. Please use `atom.commands.add` instead. See the docs at https://atom.io/docs/api/latest/CommandRegistry#instance-add for details.",26,17
api-blueprint-preview@0.3.2,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,17
api-blueprint-preview@0.3.2,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",26,17
ask-stack@1.1.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",17,17
atom-2048@1.2.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",17,17
atom-2048@1.2.3,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",17,17
atom-beautify@0.14.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",35,17
atom-beautify@0.14.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",35,17
atom-beautify@0.17.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",61,26
atom-beautify@0.17.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",61,26
atom-beautify@0.17.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",35,17
atom-beautify@0.17.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",35,17
atom-beautify@0.20.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-beautify` package",17,17
atom-beautify@0.20.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",17,17
atom-beautify@0.20.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",17,17
atom-charcode@0.4.0,"Use PackageManager::onDidActivateInitialPackages instead",17,17
atom-coffee-repl@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-coffee-repl` package",35,17
atom-compile-less@0.10.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",17,17
atom-grunt-configs@0.1.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",35,17
atom-grunt-configs@0.1.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",35,17
atom-grunt-configs@0.1.0,"Requiring `SelectListView` from `atom` is no longer supported. Please require `SelectListView` from `atom-space-pen-view` instead: `{SelectListView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",35,17
atom-grunt-configs@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-grunt-configs` package",35,17
atom-grunt-configs@0.1.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",35,17
Atom-Hack@3.5.4,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `Atom-Hack` package",43,17
atom-hack@unknown,"Call ::getActiveTextEditor instead",43,17
atom-hack@unknown,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",43,17
atom-hack@unknown,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",43,17
atom-hack@unknown,"Use ::getPaths instead",43,17
atom-hack@unknown,"Use TextEditor::onDidChangeScrollTop instead",43,17
atom-jshint@1.5.0,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",17,17
atom-jshint@1.5.0,"Use ::addLeftTile({item, priority}) instead.",17,17
atom-lint@0.20.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",52,17
atom-lint@0.20.0,"Config::observe no longer takes a `callNow` option. Use ::onDidChange instead. Note that ::onDidChange passes its callback different arguments. See https://atom.io/docs/api/latest/Config",52,17
